Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
2018-04-03,86.9,85.5,85.9,4158260,3578.839982,1260
2018-04-04,86.1,84.6,85.4,4863546,4147.204524,2045
2018-04-05,86.25,84.55,85.25,5006507,4263.530285,5048
2018-04-06,86.95,84.75,86.05,3593228,3067.062854,6082
2018-04-07,87.2,84.9,86.05,3632913,3113.136568,8230
2018-04-08,88.6,85.2,87.8,6838988,5958.565056,1799
2018-04-09,89.15,87.1,88.3,6431222,5664.784691,2198
2018-04-10,89.55,86.3,87,5877657,5161.848742,3000
2018-04-11,88.75,84.9,86.15,8417244,7254.618695,3255
2018-04-12,86.55,83.4,85.45,8584365,7301.194689,2128
2018-04-13,86.15,84.35,85.1,6888782,5875.756113,1217
2018-04-14,86.2,82.7,84.25,6183895,5220.341833,1828
2018-04-15,84.6,82.9,83.35,4556128,3817.835481,763
2018-04-16,83.75,80.85,82,5727033,4691.671481,1388
2018-04-17,82.4,80.8,81.9,4097448,3348.277252,707
2018-04-18,82,80.35,81.55,7645061,6212.099942,1415
2018-04-19,82.1,80.35,81.25,4188197,3403.786984,1305
2018-04-20,81.5,80.5,81.25,2846781,2307.398511,782
2018-04-21,82.5,80.55,81.65,5906232,4806.032443,1171
2018-04-22,81.5,80.25,80.85,7138023,5771.033342,1118
2018-04-23,80.8,78.35,78.8,3399879,2699.706809,1137
2018-04-24,79.25,77.7,77.85,3793522,2970.573605,1442
2018-04-25,78.55,77.05,77.45,2530994,1967.304008,942
2018-04-26,77.9,75.3,76.45,5298717,4053.192962,2361
2018-04-27,81.7,75.95,81.2,6118812,4866.189856,3246
2018-04-28,83,80.65,82.3,3655542,2997.152818,2646
2018-04-29,84.35,81.6,83.5,7252300,6021.163597,5018
2018-04-30,84,81.5,82.45,5164168,4262.127624,4367
2018-05-01,83.2,79.85,81.3,9109367,7435.879504,6621
2018-05-02,81.25,78.3,79.6,3087156,2462.422834,1310
2018-05-03,80.05,76.6,77.2,2185214,1713.806524,880
2018-05-04,79.25,76.3,78.8,5406955,4207.514987,1428
2018-05-05,79.7,77.45,78.1,2849279,2231.676819,1032
2018-05-06,79.9,78.1,78.35,3366418,2651.873374,1114
2018-05-07,79,77.7,77.95,4045326,3162.333489,966
2018-05-08,80.35,78.1,78.4,7365983,5822.178534,2281
2018-05-09,79.2,77.7,77.8,3505780,2744.288111,1009
2018-05-10,78.35,76.8,77.05,3049374,2365.217791,1260
2018-05-11,77.75,76.35,77.3,2956563,2280.28124,1241
2018-05-12,77.6,75.9,76.1,2703757,2063.367909,1047
2018-05-13,76.35,74.8,75,1857389,1399.115449,1332
2018-05-14,74.85,73.05,73.4,3696735,2726.753509,2123
2018-05-15,74.5,72.8,73.85,3586906,2644.628614,2103
2018-05-16,75.2,73.9,74.55,2985501,2227.815972,1560
2018-05-17,76.35,75,76.15,3099772,2349.878196,2192
2018-05-18,77.3,76,76.35,4466618,3414.218601,2389
2018-05-19,76.55,75,75.1,2552275,1928.155292,5001
2018-05-20,75.25,71.3,71.9,4334784,3147.440199,6474
2018-05-21,74.85,71,71.65,7471148,5438.618328,6193
2018-05-22,73.65,71.8,73.25,3668110,2669.211529,1070
2018-05-23,73.85,71.9,72.25,2632012,1907.644968,766
2018-05-24,73,71.9,72.2,3149476,2279.648536,1162
2018-05-25,72.55,71.6,72.05,2327587,1678.086947,732
2018-05-26,72.2,71.1,71.25,1328748,950.849146,549
2018-05-27,72.35,71,71.75,1688831,1213.817636,840
2018-05-28,73.8,72,73.2,1713958,1249.114898,865
2018-05-29,74.1,72.75,73.05,1897237,1389.88328,744
2018-05-30,73.45,71.65,72.2,2829649,2048.041973,1385
2018-05-31,71.7,69.3,69.5,4361939,3076.185425,1658
2018-06-01,70.5,69.1,70.15,3113836,2172.803586,1166
2018-06-02,70.15,68.65,68.95,2182138,1508.348954,1212
2018-06-03,71.3,68.05,70.9,2621707,1842.535667,1795
